Phase,Date,Change,New Files,Purpose,Model Change,Performance Change
Phase 0,unknown (pre-Git),Established original ATP synthase virtual-screening and MD/MMGBSA research assets,Original files under 表征/;运行/;作图/,Provide the real computational-chemistry basis for later data engineering,None,None
Phase 1A,2026-08-22 report metadata; Git import 2026-08-23,Created Dataset v0.1 file-level asset registry,DATA_AUDIT_REPORT.md;data/raw_manifest.csv;data/molecules.csv;data/screening_records.csv;data/systems.csv;docs/data_dictionary.md,Make raw files traceable and separate complete/incomplete/corrupted/derived assets,None,None
Phase 1B,2026-08-22 document metadata; Git import 2026-08-23,Resolved candidate identity and built internal Dataset v0.2,data/compound_mapping_v1.csv;data/dataset_v0.2/samples.csv;data/dataset_v0.2/feature_manifest.csv;src/feature_pipeline_v2.py,Create a leakage-auditable 17-compound same-protocol ranking dataset,None,17 compounds and 11 scaffolds established; no model result assigned to this row
Phase 2A,2026-08-22 document metadata; Git import 2026-08-23,Trained RF XGBoost and LightGBM baselines with strict scaffold benchmark,src/baseline_train.py;src/evaluation.py;src/benchmark_phase15.py;models/random_forest_mmgbsa_baseline.joblib;models/xgboost_mmgbsa_baseline.joblib;models/lightgbm_mmgbsa_baseline.joblib,Test whether traditional ML can reproduce and reorder static MMGBSA computation,Added Model v1 comparator as Legacy P1 LightGBM,Strict LOGO LightGBM Spearman=0.5984 NDCG@5=0.7877 Top-5 enrichment=1.36
Phase 2B,2026-08-22 document metadata; Git import 2026-08-23,Added verified Docking and QuickProp features plus SHAP explanation,src/phase3_ranking.py;models/lightgbm_enhanced_v1.joblib;results/phase3_model_comparison.csv;results/feature_importance.csv;docs/Phase3_Report.md,Create the first end-to-end enhanced candidate-ranking pipeline,Intermediate lightgbm_enhanced_v1.0 with 1089 features,Spearman=0.7525 RMSE=4.8462 NDCG@5=0.7774 Top-5 enrichment=1.36
Phase 3A,2026-08-22T18:26:34.881Z; Git import 2026-08-23,Built three-layer Dataset v1.0 from audited public and internal evidence,data/dataset_v1.0/ATP_Navigator_Dataset_v1.csv;data/dataset_v1.0/dataset_metadata.json;docs/Dataset_Audit_v1.md;docs/Label_Policy.md,Add external antibacterial and ATP-synthase knowledge without creating a shared false label,None,6754 rows: Layer1=6355 Layer2=363 Layer3=36
Phase 3B,unknown development time; Git import 2026-08-23,Trained task-isolated external models and added four external priors to internal ranking,src/model_v2_pipeline.py;models/model_v2/;results/model_v2/;docs/Model_v2_Report.md,Test external-knowledge transfer while keeping MIC IC50 and MMGBSA labels separate,Added Model v2-A and Model v2-B; current Model v2 is v2-B,Versus enhanced v1.0: Spearman +0.0049 RMSE +0.0764 NDCG@5 -0.0030 Top-5 unchanged
Repository organization,2026-08-23T15:05:35+08:00,Added team data-intake literature and competition directories,data/external/;data/literature/;competition/;README.md,Support future auditable team uploads and competition packaging,None,None
Phase 4,2026-08-23T16:29:41+08:00,Added structure similarity scaffold ADMET and expanded descriptor features,src/model_v3_pipeline.py;data/model_v3/;models/model_v3/;results/model_v3/;docs/Model_v3_Report.md,Build feature-enhanced external-knowledge ranking while excluding sparse MD features,Added Model v3 LightGBM with 1128 features,Versus Model v2: Spearman +0.0123 RMSE -0.0349 NDCG@5 +0.0038 Top-5 enrichment unchanged at 1.36
Phase 5,2026-08-23; commit 61d3b41,Added transparent multi-objective Decision Engine and long-term registries,src/decision_engine.py;scoring_config.json;results/final_candidate_ranking.csv;docs/Decision_Engine_Report.md;docs/Candidate_Explanation_Report.md;docs/Current_System_Status.md;docs/Model_Registry.md;docs/Data_Registry.md,Convert existing computational evidence into auditable candidate decisions without inventing experiments,No new supervised model; Model v0-v3 unchanged,No new supervised performance claim; current batch Top1=ATP-SMI-C93E6EC67CDB final_score=73.9071
