release_partition,use_for_training,exclusion_reason,anchor_compound,anchor_source,pubchem_cid,compound_name,SMILES,tanimoto_to_anchor,pubchem_bioassay_count,atp_synthase_activity,antibacterial_activity,link,notes
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,155803293,"Thieno[3',2':5,6]pyrido[3,2-b]azepine",C1C=C2C=C3C(=CC=CC=N3)N=C2S1,0.229,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/155803293,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,358326,"5,19-Dithia-2,8,16,22-tetrazatricyclo[21.5.0.09,15]octacosa-1,8,10,12,14,23,25,27-octaene",C1CSCCNC2=CC=CC=CC2=NCCSCCN=C3C=CC=CC=C3N1,0.181,55,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/358326,NSC618290/CHEMBL2006515; PubChem 55个assay全为Inactive(NCI60等) — 可作阴性参照
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,88404724,"3-(8H-indeno[1,2-d][1,3]thiazol-2-yl)-N,N-dimethylpropan-1-amine",CN(C)CCCC1=NC2=C3CC=CC=C3C=C2S1,0.163,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/88404724,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,126634788,"2-(4,5-dihydro-1,3-thiazol-2-yl)-3a,4-dihydro-1H-indol-7-amine",C1CSC(=N1)C2=CC3CC=CC(=C3N2)N,0.125,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/126634788,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,173518248,"(3E,5Z)-N,N-diethyl-5-[6-[(2R)-2-fluoro-2H-pyridin-5-ylidene]-1,2-dihydropyridin-3-ylidene]penta-1,3-dien-3-amine",CCN(CC)/C(=C/C=C/1\CNC(=C2C=C[C@H](N=C2)F)C=C1)/C=C,0.12,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/173518248,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,118020868,"2-(4H-quinolizin-1-yl)-1,3-thiazolidine",C1CSC(N1)C2=C3C=CC=CN3CC=C2,0.113,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/118020868,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123965704,"N-[(3E,5Z)-3-(5,6-dihydro-[1,3]thiazolo[5,4-b]pyridin-2-yl)hepta-3,5-dien-1-yn-4-yl]propan-2-imine",C/C=C\C(=C(\C#C)/C1=NC2=CCCN=C2S1)\N=C(C)C,0.111,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123965704,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123675159,"7-Ethyl-8-methylidene-2-thia-7,12-diazabicyclo[7.5.0]tetradeca-1(9),5-diene",CCN1C=CCCSC2=C(C1=C)CCNCC2,0.108,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123675159,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,122429864,"6-(1,1-Difluoroethyl)-3-(methylsulfanylmethyl)-1,2-dihydropyridine",CC(C1=CC=C(CN1)CSC)(F)F,0.107,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/122429864,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,173971183,"N'-[(6E,8Z)-2-ethyl-8-methyl-4H-cycloocta[d][1,3]thiazin-7-yl]-N-[(E)-4-fluoro-2-methylbut-2-enyl]methanediamine",CCC1=NC2=C/C=C(\C(=C/C=C2CS1)\NCNC/C(=C/CF)/C)/C,0.105,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/173971183,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,68244665,"6-(4-methyl-4,5-dihydro-1,3-thiazol-2-yl)-N-piperidin-4-yl-1,2,3,8a-tetrahydroisoquinolin-8-amine",CC1CSC(=N1)C2=CC3=CCNCC3C(=C2)NC4CCNCC4,0.097,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/68244665,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,118074636,"N,N-dimethyl-7-methylidene-4a,9a,10,10a-tetrahydrophenothiazin-3-amine",CN(C)C1=CC2C(C=C1)NC3C=CC(=C)C=C3S2,0.096,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/118074636,仅相似性检索命中；生物活性未核实
