query_id,query_compound_id,query_smiles,matched_htvs_id,matched_count,identity_relation,exact_match,confidence,evidence_source,notes
IN-2,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-REF-IN2;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/ADMET.xlsx;运行/运行/ATP-Ref-MD1/MD.cms,no exact/related structure key or traceable historical HTVS ID found
Hit1,ATP-SMI-9DA3213A09E8,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-9DA3213A09E8;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,no exact/related structure key or traceable historical HTVS ID found
Hit2,ATP-SMI-C93E6EC67CDB,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-C93E6EC67CDB;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,no exact/related structure key or traceable historical HTVS ID found
Hit3,ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-874C2DE25FE4;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;ATP-Navigator/data/molecules.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/Top-3.pdb;ATP-Navigator/data/molecules.csv;表征/466-H1-D2O.pdf;表征/466-H1-DMSO.pdf;表征/466-LCMS.pdf;ATP-Navigator/data/systems.csv;作图/作图/1-阳性化合物和蛋白的MD/图-3/Hit.csv;运行/运行/ATP-Top1-MD2/MD.cms;ATP酶抑制剂的修饰改造.pptx;作图/作图/1-阳性化合物和蛋白的MD/图-3/Hit.csv;运行/运行/ATP-Top1-MD2/MD.cms;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;ATP酶抑制剂的修饰改造.pptx;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/Top-3.pdb;运行/运行/ATP-Top1-MD2/MD.cms;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;运行/运行/ATP-Top1-MD2/MD.cms;表征/466-H1-D2O.pdf;表征/466-H1-DMSO.pdf;表征/466-LCMS.pdf;运行/运行/ATP-Top1-MD2/MD.cms,"aliases 466, ATP-CHAR-466, ATP-Top1-MD2 and Top-3 were searched; none map to an HTVS1633 code; no exact/related structure key or traceable historical HTVS ID found"
Hit4,ATP-SMI-5D3E7B6B6796,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-5D3E7B6B6796;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,no exact/related structure key or traceable historical HTVS ID found
Hit5,ATP-SMI-96FD6257D8BA,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-96FD6257D8BA;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,no exact/related structure key or traceable historical HTVS ID found
Hit6,ATP-SMI-E9798004BA11,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-E9798004BA11;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,no exact/related structure key or traceable historical HTVS ID found
Hit7,ATP-SMI-15737353FB69,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-15737353FB69;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,no exact/related structure key or traceable historical HTVS ID found
Hit8,ATP-SMI-BF69AB71C1A4,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-BF69AB71C1A4;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,no exact/related structure key or traceable historical HTVS ID found
Hit9,ATP-SMI-FCA9CDF3313B,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,,0,unresolved,False,low,configs\projects\ab_atp_synthase\vina_7p3w_v1\candidate_identity_manifest.csv#ATP-SMI-FCA9CDF3313B;data\htvs_structures_v0_1.csv;data\compound_mapping_v1.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.csv;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz;作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,no exact/related structure key or traceable historical HTVS ID found
