compound_id,compound_code,historical_alias,smiles,model_version,ai_rank,candidate_priority_score,model_raw_score,raw_score_direction,glide_docking_score,reference_mmgbsa,feature_source,prediction_scope
ATP-SMI-9DA3213A09E8,20304,Hit1,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,lightgbm_enhanced_v1.0,1,100,-56.5355044769492,lower_is_better,-8.12068275383396,-57.51,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-C93E6EC67CDB,91771,Hit2,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,lightgbm_enhanced_v1.0,2,93.75,-56.404829396998366,lower_is_better,-8.42562825587936,-56.56,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-874C2DE25FE4,27063,Hit3,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,lightgbm_enhanced_v1.0,3,87.5,-56.154751793456285,lower_is_better,-8.42196401327989,-56.37,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-5D3E7B6B6796,56519,Hit4,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,lightgbm_enhanced_v1.0,4,81.25,-54.27103753701463,lower_is_better,-8.07246311561382,-54.81,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-96FD6257D8BA,57003,Hit5,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,lightgbm_enhanced_v1.0,5,75,-52.83868746217042,lower_is_better,-8.37304414520958,-52.9,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-E9798004BA11,65938,Hit6,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,lightgbm_enhanced_v1.0,6,68.75,-51.960300448892895,lower_is_better,-8.23545529108907,-51.99,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-15737353FB69,29508,Hit7,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,lightgbm_enhanced_v1.0,7,62.5,-51.402124827514456,lower_is_better,-8.11191224598807,-51.42,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-BF69AB71C1A4,84919,Hit8,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,lightgbm_enhanced_v1.0,8,56.25,-50.91919234046379,lower_is_better,-8.14688200228842,-51.01,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-FCA9CDF3313B,3339,Hit9,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,lightgbm_enhanced_v1.0,9,50,-48.869307286946004,lower_is_better,-8.15986913112427,-48.88,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-C3308BEE03AC,84927,Hit10,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,lightgbm_enhanced_v1.0,10,43.75,-47.97015277852618,lower_is_better,-8.40968869431086,-48.06,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-CDED936B42F4,33710,Hit11,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,lightgbm_enhanced_v1.0,11,37.5,-47.80050535567714,lower_is_better,-8.15834295820794,-47.89,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-94F73967C042,71800,Hit12,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,lightgbm_enhanced_v1.0,12,31.25,-44.78700198751368,lower_is_better,-8.34211914130707,-44.48,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-5B36D3E11A3B,91074,Hit13,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,lightgbm_enhanced_v1.0,13,25,-44.28174223590225,lower_is_better,-8.18448236860633,-44.13,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-775D33706F04,91072,Hit14,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,lightgbm_enhanced_v1.0,14,18.75,-43.16777073555468,lower_is_better,-8.47125394301545,-43,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-CFA68A98711F,34890,Hit15,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,lightgbm_enhanced_v1.0,15,12.5,-37.56786928304232,lower_is_better,-10.0131045249552,-37.5,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-91E7552C2382,23289,Hit16,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,lightgbm_enhanced_v1.0,16,6.25,-34.981618154338484,lower_is_better,-8.50768563789492,-34.76,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
ATP-SMI-4417138BF81D,90158,Hit17,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,lightgbm_enhanced_v1.0,17,0,-34.84221920925267,lower_is_better,-8.58843526811927,-33.54,作图/作图/2-基于衍生数据库的虚拟筛选/数据/VSW.maegz,retrospective_full_fit_demo
