compound_id,evidence_type,raw_value,tool_id,tool_version,protocol_id,source_batch,cohort_rank,cohort,comparison_scope,cross_protocol
ATP-SMI-15737353FB69,docking_score,-8.111912,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,16,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-4417138BF81D,docking_score,-8.588435,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,2,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-5B36D3E11A3B,docking_score,-8.184483,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,11,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-5D3E7B6B6796,docking_score,-8.072463,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,17,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-775D33706F04,docking_score,-8.471254,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,4,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-874C2DE25FE4,docking_score,-8.421964,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,6,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-91E7552C2382,docking_score,-8.507686,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,3,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-96FD6257D8BA,docking_score,-8.373044,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,8,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-94F73967C042,docking_score,-8.342119,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,9,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-9DA3213A09E8,docking_score,-8.120683,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,15,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-BF69AB71C1A4,docking_score,-8.146882,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,14,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-C3308BEE03AC,docking_score,-8.409689,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,7,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-C93E6EC67CDB,docking_score,-8.425629,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,5,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-CDED936B42F4,docking_score,-8.158343,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,13,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-CFA68A98711F,docking_score,-10.013104,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,1,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-FCA9CDF3313B,docking_score,-8.159869,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,12,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-E9798004BA11,docking_score,-8.2354555,glide,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,10,"[""glide"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""docking_score""]",within_cohort_only,True
ATP-SMI-15737353FB69,mmgbsa_score,-51.42,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,7,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-4417138BF81D,mmgbsa_score,-33.54,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,17,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-5B36D3E11A3B,mmgbsa_score,-44.13,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,13,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-5D3E7B6B6796,mmgbsa_score,-54.81,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,4,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-775D33706F04,mmgbsa_score,-43.0,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,14,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-91E7552C2382,mmgbsa_score,-34.76,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,16,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-874C2DE25FE4,mmgbsa_score,-56.37,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,3,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-94F73967C042,mmgbsa_score,-44.48,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,12,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-96FD6257D8BA,mmgbsa_score,-52.9,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,5,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
ATP-SMI-9DA3213A09E8,mmgbsa_score,-57.51,prime_mmgbsa,unknown,historical_internal17_multibackend_replay_v1,batch_6094dd3e3aa349d3,1,"[""prime_mmgbsa"", ""unknown"", ""historical_internal17_multibackend_replay_v1"", ""batch_6094dd3e3aa349d3"", ""mmgbsa_score""]",within_cohort_only,True
